City,City ID,Country,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Max Temp,Date
Imperial,6148104,CA,51.35,-105.44,33.62,67,100,14.76,33.62,1570591957
Tupik,2014836,RU,54.43,119.94,31.06,79,100,8.18,31.06,1570591957
Aldan,2027968,RU,58.61,125.39,22.35,86,100,6.79,22.35,1570591957
Krasnoye,500060,RU,44.87,39.46,43.41,93,75,4.47,44.6,1570591957
Cerkezkoy,749274,TR,41.28,28.0,53.6,93,0,9.17,55.4,1570591958
Nhulunbuy,2064735,AU,-12.18,136.78,86.0,51,20,13.87,86.0,1570591958
Ejido Hermosillo,3985604,MX,32.51,-114.92,82.13,24,20,4.7,86.0,1570591958
Miri,2347470,NG,10.31,9.75,69.87,90,41,3.38,69.87,1570591958
Puerto Narino,3671387,CO,-3.77,-70.38,75.2,100,30,2.08,75.2,1570591959
Porto Belo,3452900,BR,-27.15,-48.54,67.78,94,40,0.94,68.0,1570591959
Cleveland,5150529,US,41.51,-81.69,50.97,76,1,3.36,57.2,1570591959
Pochutla,3517970,MX,15.74,-96.47,77.0,88,75,6.82,77.0,1570591959
Lavrentiya,4031637,RU,65.58,-170.99,37.36,93,88,0.65,37.36,1570591960
Amapa,3603330,HN,15.09,-87.97,80.6,88,75,2.24,80.6,1570591960
Praya,1630662,ID,-8.71,116.27,91.4,38,20,9.17,91.4,1570591960
Ossora,2122389,RU,59.24,163.07,38.37,56,63,3.87,38.37,1570591960
Chokurdakh,2126123,RU,70.62,147.9,9.8,94,44,3.62,9.8,1570591961
Magole,155334,TZ,-6.37,37.37,72.61,86,100,6.28,72.61,1570591961
Zaraza,3625066,VE,9.35,-65.33,74.21,95,100,3.06,74.21,1570591961
Aasiaat,3424901,GL,68.71,-52.87,27.14,63,44,5.67,27.14,1570591962
Xai-Xai,1024552,MZ,-25.04,33.64,72.84,86,81,3.26,72.84,1570591962
Goderich,5962442,CA,43.74,-81.71,49.84,93,0,19.62,51.01,1570591962
Balkanabat,161616,TM,39.51,54.36,67.17,58,0,1.12,67.17,1570591962
Bosaso,64013,SO,11.28,49.18,83.71,72,0,12.23,83.71,1570591963
Nastola,645036,FI,60.95,25.93,27.39,100,75,2.24,28.0,1570591963
Aranos,3358666,NA,-24.14,19.11,58.51,18,0,7.34,58.51,1570591963
Kerrville,4703078,US,30.05,-99.14,69.96,56,1,7.74,73.99,1570591963
Kampong Thum,1831125,KH,12.71,104.89,84.7,70,100,5.63,84.7,1570591964
Rio Gallegos,3838859,AR,-51.62,-69.22,44.6,56,0,23.04,44.6,1570591964
San Cristobal,3609418,HN,14.68,-86.92,68.05,90,95,4.23,68.05,1570591964
Gornyak,1506260,KZ,51.0,81.46,53.85,70,0,7.38,53.85,1570591965
Codrington,2160063,AU,-28.95,153.24,69.76,35,90,13.87,73.4,1570591965
Ozu,1926055,JP,33.51,132.54,75.2,44,20,17.22,75.2,1570591965
Mehamn,778707,NO,71.03,27.85,39.2,80,75,19.46,39.2,1570591965
Srivardhan,1255619,IN,18.03,73.02,81.41,75,0,4.52,81.41,1570591966
Byron Bay,2172880,AU,-28.65,153.62,70.61,56,75,17.22,75.0,1570591966
Kingman,5301067,US,35.19,-114.05,75.56,8,1,5.77,84.99,1570591966
Tasiilaq,3424607,GL,65.61,-37.64,41.0,75,100,10.29,41.0,1570591966
Castro,3896218,CL,-42.48,-73.76,46.4,93,90,3.36,46.4,1570591967
Mount Isa,2065594,AU,-20.73,139.49,87.8,10,23,11.41,87.8,1570591967
Gondanglegi,1640660,ID,-7.75,112.01,90.08,40,23,8.57,90.08,1570591967
Zenzeli,463655,RU,45.92,47.05,54.71,74,100,7.2,54.71,1570591968
Mahebourg,934322,MU,-20.41,57.7,70.52,83,75,11.41,71.01,1570591968
Lagoa,2267254,PT,37.14,-8.45,67.28,82,0,6.93,69.01,1570591968
Kavakli,743818,TR,41.09,28.33,54.88,93,0,9.17,59.0,1570591968
Strezhevoy,1490796,RU,60.73,77.6,37.4,74,0,8.95,37.4,1570591969
Carballo,3126369,ES,43.21,-8.69,48.25,100,20,5.82,52.0,1570591969
Nyurba,2018735,RU,63.29,118.35,21.29,85,100,7.64,21.29,1570591969
Yibin,1786770,CN,28.77,104.64,67.24,68,100,2.51,67.24,1570591969
Tazovskiy,1489853,RU,67.47,78.7,33.04,80,100,14.43,33.04,1570591970
Hami,1529484,CN,42.84,93.51,66.92,15,95,8.57,66.92,1570591970
Kampong Cham,1831173,KH,11.99,105.46,84.5,75,100,6.35,84.5,1570591970
Longyan,1802276,CN,25.1,117.03,83.39,59,28,0.62,83.39,1570591971
Thunder Bay,6166142,CA,48.41,-89.26,54.64,58,75,5.82,57.2,1570591971
Tabou,2281120,CI,4.42,-7.36,73.99,93,100,2.73,73.99,1570591971
Aguimes,2522325,ES,27.91,-15.45,70.38,68,20,20.8,71.6,1570591971
Jacareacanga,3397763,BR,-6.22,-57.76,73.53,95,100,1.81,73.53,1570591972
Koran,3206012,BA,43.81,18.57,35.6,100,0,1.12,35.6,1570591972
Christchurch,2192362,NZ,-43.53,172.64,70.16,43,100,10.29,72.0,1570591972
Koutiala,2454268,ML,12.39,-5.46,76.51,77,99,11.8,76.51,1570591972
Kuala Terengganu,1734705,MY,5.33,103.14,86.0,74,75,4.7,86.0,1570591973
Fredericton,5957776,CA,45.97,-66.65,39.85,100,1,2.33,42.01,1570591973
Deputatskiy,2028164,RU,69.3,139.9,5.32,95,99,2.86,5.32,1570591973
Benghazi,88319,LY,32.12,20.07,78.94,47,63,32.74,78.94,1570591973
Shubarshi,608270,KZ,48.59,57.19,48.86,65,93,1.57,48.86,1570591974
Alta Floresta,6316343,BR,-9.87,-56.08,68.54,96,100,4.11,68.54,1570591974
Onega,515246,RU,63.91,38.09,36.07,96,100,25.12,36.07,1570591974
Adrar,2508813,DZ,27.87,-0.29,64.4,27,0,9.17,64.4,1570591974
Chateaudun,3026285,FR,48.08,1.33,51.39,100,90,8.05,51.8,1570591975
Veraval,3031871,FR,49.65,0.71,50.43,93,0,10.29,52.0,1570591975
Snyder,5530921,US,32.72,-100.92,73.65,50,1,16.11,75.99,1570591975
Kupang,2057087,ID,-10.16,123.6,87.8,52,20,13.87,87.8,1570591975
Bansko,785380,MK,41.39,22.75,55.99,91,89,1.87,55.99,1570591976
Narrabri,2155742,AU,-30.33,149.78,71.28,17,0,9.17,71.6,1570591976
Vanimo,2084442,PG,-2.67,141.3,83.77,69,100,7.59,83.77,1570591976
Kokopo,2093685,PG,-4.34,152.27,81.91,82,6,2.37,81.91,1570591976
Okhotsk,2122605,RU,59.36,143.24,32.67,97,100,9.84,32.67,1570591977
San Vicente de Canete,3928993,PE,-13.08,-76.38,58.3,90,71,5.68,58.3,1570591977
Berzasca,667256,RO,44.65,21.95,53.01,64,28,3.0,53.01,1570591977
Puerto Escondido,3520994,MX,15.86,-97.07,75.27,95,100,2.86,75.27,1570591977
Antalaha,1071296,MG,-14.9,50.28,62.53,97,7,3.38,62.53,1570591978
Norman Wells,6089245,CA,65.28,-126.83,30.2,63,75,5.82,30.2,1570591978
Leningradskiy,2123814,RU,69.38,178.42,33.48,79,100,24.13,33.48,1570591978
Weligama,1223738,LK,5.97,80.42,82.34,73,77,7.45,82.34,1570591682
Itoman,1861280,JP,26.12,127.67,83.28,54,20,18.34,84.2,1570591979
Ambikapur,1278827,IN,23.12,83.2,75.76,74,0,2.28,75.76,1570591979
Winslow,2633808,GB,51.94,-0.88,49.37,87,100,6.93,51.8,1570591979
Khorramshahr,127319,IR,30.43,48.18,78.8,78,0,2.24,78.8,1570591979
Huarmey,3939168,PE,-10.07,-78.15,59.77,89,18,13.44,59.77,1570591980
Marzuq,72181,YE,14.4,46.47,68.9,56,0,3.22,68.9,1570591980
Wentzville,4414001,US,38.81,-90.85,54.93,87,1,6.15,60.01,1570591980
Satuk,737723,TR,41.23,32.38,42.82,96,14,2.31,42.82,1570591980
Shakiso,328716,ET,5.77,38.9,53.65,97,6,1.76,53.65,1570591980
Baghdad,98182,IQ,33.3,44.38,73.4,56,17,3.36,73.4,1570591916
Pangoa,3933104,PE,-12.12,-73.0,68.57,85,1,2.28,68.57,1570591981
Dingle,1714733,PH,11.0,122.67,85.94,69,80,5.32,85.94,1570591981
Tornio,637314,FI,61.12,27.27,28.2,100,75,2.24,30.99,1570591981
Lazarev,2123836,RU,52.23,141.51,47.64,91,100,29.55,47.64,1570591982
Tsaratanana,1055059,MG,-16.8,47.65,65.37,76,43,12.97,65.37,1570591982
Eenhana,3357804,NA,-17.48,16.34,77.0,16,4,4.7,77.0,1570591983
Los Llanos de Aridane,2514651,ES,28.66,-17.92,71.6,68,90,11.41,71.6,1570591983
Ginda,1253628,IN,30.69,78.49,73.4,69,40,3.36,73.4,1570591983
Bojnurd,140380,IR,37.47,57.33,48.2,70,0,5.78,48.2,1570591984
Tongzi,1799686,CN,28.78,105.09,64.81,80,100,4.94,64.81,1570591984
Karratha,6620339,AU,-20.74,116.85,104.03,8,4,3.24,104.03,1570591984
Chato,160552,TZ,-2.64,31.77,65.68,79,48,1.86,65.68,1570591985
Coihaique,3894426,CL,-45.58,-72.07,46.4,99,20,9.17,46.4,1570591985
Sao Joao da Barra,3448903,BR,-21.64,-41.05,73.94,86,99,5.53,73.94,1570591985
Egvekinot,4031742,RU,66.32,-179.17,27.12,93,88,10.92,27.12,1570591985
Shingu,1847947,JP,33.72,135.99,75.2,29,20,11.41,75.2,1570591986
Bathsheba,3374083,BB,13.22,-59.52,82.4,69,40,18.34,82.4,1570591986
Bria,239899,CF,6.54,21.99,66.76,98,100,0.97,66.76,1570591986
Mataram,1630639,ID,-5.32,105.06,91.74,41,0,2.66,91.74,1570591986
Talcahuano,3870282,CL,-36.72,-73.12,59.0,47,100,2.24,59.0,1570591987
Sumter,4597948,US,33.92,-80.34,67.62,72,90,6.93,69.8,1570591987
Bandarbeyla,64814,SO,9.49,50.81,74.64,85,86,8.86,74.64,1570591987
Vila Velha,6320062,BR,-3.71,-38.6,78.91,74,40,19.46,79.0,1570591988
Shimoda,1852357,JP,34.7,138.93,74.37,53,20,20.8,75.2,1570591988
Nabire,1634614,ID,-3.36,135.5,80.44,86,96,1.05,80.44,1570591988
Nguru,2328952,NG,12.88,10.45,75.04,78,99,2.44,75.04,1570591988
Quthing,932183,LS,-30.4,27.7,48.69,37,0,1.87,48.69,1570591989
Mnogovershinnyy,2019935,RU,53.94,139.92,42.84,70,98,8.84,42.84,1570591989
Narasannapeta,1261853,IN,18.42,84.04,81.14,77,100,3.95,81.14,1570591989
Bolobo,2316748,CD,-2.17,16.23,71.87,84,35,2.33,71.87,1570591989
Geilo,3155913,NO,60.53,8.21,29.97,87,100,3.6,33.01,1570591990
Caceres,3679277,CO,5.53,-74.53,68.31,97,100,2.89,68.31,1570591990
Punta Alta,3429886,AR,-27.46,-55.82,69.8,52,0,5.82,69.8,1570591990
Ancud,3899695,CL,-41.87,-73.83,46.4,93,90,3.36,46.4,1570591990
Son Tay,1567621,VN,21.14,105.5,78.8,83,75,4.7,78.8,1570591991
Hobbs,5471578,US,32.7,-103.14,70.79,56,1,10.29,73.4,1570591991
Wahiawa,5853992,US,21.5,-158.02,81.93,65,90,3.36,84.2,1570591983
Chapais,5919850,CA,49.78,-74.86,35.6,93,1,4.97,35.6,1570591991
Hegang,2036986,CN,47.34,130.28,57.5,45,0,8.79,57.5,1570591992
Ulaanbaatar,2028462,MN,47.92,106.92,51.8,29,0,2.24,51.8,1570591992
Hargeysa,57289,SO,9.56,44.06,66.9,80,30,5.66,66.9,1570591992
Tungor,2120400,RU,53.39,142.95,46.45,98,100,8.13,46.45,1570591993
Nioro,2413070,GM,13.79,-15.05,74.89,94,100,1.28,74.89,1570591993
Salta,3838233,AR,-24.79,-65.41,66.2,45,0,5.82,66.2,1570591993
Barranca,3946820,PE,-10.75,-77.76,59.9,87,23,10.4,59.9,1570591993
Muroto,1856392,JP,33.37,134.14,78.8,27,20,11.41,78.8,1570591994
Mangan,1263776,IN,27.5,88.54,62.65,57,0,3.85,62.65,1570591994
Umm Lajj,100926,SA,25.02,37.27,86.97,68,62,9.1,86.97,1570591994
Mareeba,2158767,AU,-16.99,145.42,89.58,61,75,6.93,93.99,1570591994
Shebunino,468902,RU,57.66,40.04,33.8,80,75,6.71,33.8,1570591995
Tiksi,2015306,RU,71.64,128.87,25.23,88,100,12.64,25.23,1570591995
Pucallpa,3693345,PE,-8.38,-74.54,75.2,88,20,2.24,75.2,1570591995
Ambilobe,1082243,MG,-13.19,49.05,75.47,68,3,15.11,75.47,1570591995
Severo-Yeniseyskiy,1492566,RU,60.37,93.04,28.9,75,46,4.88,28.9,1570591996
New Baltimore,5003369,US,42.68,-82.74,50.22,76,1,9.79,55.99,1570591996
Pilar,3427208,AR,-34.46,-58.91,61.74,67,0,3.36,68.0,1570591933
Santa Maria,3462672,BR,-16.02,-48.01,68.32,88,90,4.7,69.8,1570591996
Hamilton,5969785,CA,43.26,-79.87,49.1,87,20,6.93,57.0,1570591997
Cabedelo,3404558,BR,-6.97,-34.84,77.0,83,75,5.82,77.0,1570591997
Meadow Lake,6071421,CA,54.13,-108.44,26.71,71,93,7.05,26.71,1570591997
Maceio,3395981,BR,-9.67,-35.74,69.8,94,0,4.7,69.8,1570591997
Narsaq,3421719,GL,60.91,-46.05,39.2,80,75,8.63,39.2,1570591998
Mazagao,3395042,BR,-0.12,-51.29,82.4,88,40,6.93,82.4,1570591998
Pskov,504341,RU,57.82,28.33,37.4,93,72,6.71,37.4,1570591996
La Ronge,6050066,CA,55.1,-105.3,30.2,86,40,8.05,30.2,1570591998
Shahreza,417594,IR,32.01,51.87,48.68,34,0,1.19,48.68,1570591999
Balkhash,1525798,KZ,46.84,74.98,53.6,50,0,11.18,53.6,1570591999
Denpasar,1645528,ID,-8.65,115.22,84.2,74,20,10.29,84.2,1570591999
Solnechnyy,2016307,RU,50.72,136.64,54.23,40,0,1.67,54.23,1570591999
Darhan,2031964,MN,49.49,105.92,33.71,93,100,9.37,33.71,1570592000
Bogorodskoye,2126638,RU,52.37,140.44,43.64,87,100,11.65,43.64,1570592000
Hoshcha,708257,UA,50.6,26.67,44.6,75,100,11.18,44.6,1570592000
Campeche,3531732,MX,19.84,-90.54,73.4,100,75,11.41,73.4,1570592000
Beringovskiy,2126710,RU,63.05,179.32,31.91,67,53,8.88,31.91,1570592001
Trois-Rivieres,6169141,CA,46.35,-72.55,40.69,93,1,2.24,46.0,1570592001
Luganville,2136150,VU,-15.51,167.18,82.4,74,75,10.29,82.4,1570592001
Matara,425378,BI,-3.48,29.48,61.38,62,100,7.1,61.38,1570592001
Tres Arroyos,3833859,AR,-38.38,-60.28,45.93,56,27,6.56,45.93,1570592002
Petatlan,3992842,MX,17.52,-101.27,84.02,79,100,3.6,84.02,1570592002
Jiazi,1894019,CN,19.61,110.49,86.0,70,75,13.42,86.0,1570592002
Birin,1283334,NP,26.89,88.07,75.2,83,75,2.24,75.2,1570592002
Waingapu,1622318,ID,-9.65,120.26,86.74,43,44,14.79,86.74,1570592003
Quebec,6325494,CA,46.83,-71.24,43.59,81,5,4.7,46.0,1570592003
Nizwa,286987,OM,22.93,57.53,72.86,60,0,1.0,72.86,1570592003
Ono,1854026,JP,34.86,134.95,72.61,33,0,6.93,75.2,1570592004
Green River,5826559,US,41.53,-109.47,45.48,25,1,9.17,51.8,1570592004
Luziania,3458329,BR,-16.25,-47.95,68.31,88,90,4.7,69.8,1570592004
Poso,1630723,ID,-1.4,120.75,79.54,46,0,5.84,79.54,1570591804
Kudahuvadhoo,1337607,MV,2.67,72.89,81.79,75,99,11.05,81.79,1570592004
Phan Thiet,1571058,VN,10.93,108.1,86.29,61,54,3.65,86.29,1570591787
Cacule,3468349,BR,-14.5,-42.22,66.97,81,7,14.94,66.97,1570592005
Tezu,1254709,IN,27.93,96.16,71.24,97,96,1.92,71.24,1570592005
Buraydah,107304,SA,26.33,43.97,77.0,53,0,3.36,77.0,1570592006
Itarema,3393692,BR,-2.92,-39.92,76.06,79,15,11.47,76.06,1570592006
Noumea,2139521,NC,-22.28,166.46,79.88,65,90,5.82,81.0,1570592006
Alice Springs,2077895,AU,-23.7,133.88,77.0,13,0,12.75,77.0,1570592006
Mokhsogollokh,2019867,RU,61.4,128.95,30.54,93,100,8.14,30.54,1570592007
Seoul,1835848,KR,37.57,126.98,63.41,36,1,4.7,64.4,1570591932
Broken Hill,2173911,AU,-31.97,141.45,64.4,27,0,10.29,64.4,1570592007
Kununurra,2068110,AU,-15.77,128.74,102.2,16,0,14.99,102.2,1570592007
Jaen,3696150,PE,-5.71,-78.81,57.25,94,24,2.67,57.25,1570592008
Shagonar,1492499,RU,51.54,92.92,52.66,52,50,3.1,52.66,1570592008
Ulladulla,2145554,AU,-35.36,150.48,59.25,48,0,17.22,60.8,1570592008
Quatre Cocos,1106643,MU,-20.21,57.76,70.45,83,75,11.41,71.01,1570592008
Wainwright,6175059,CA,52.84,-110.86,27.63,64,100,10.18,27.63,1570592009
Zhangjiakou,2033196,CN,40.77,114.88,54.08,33,100,7.18,54.08,1570592009
Callaway,5024237,US,46.98,-95.91,58.14,62,1,8.05,62.6,1570592009
Taoudenni,2450173,ML,22.68,-3.98,81.1,11,0,7.56,81.1,1570592009
Tongchuan,7064006,CN,34.9,108.95,55.4,100,90,8.95,55.4,1570592010
Valentin Gomez Farias,4011743,MX,24.05,-104.7,62.6,45,5,5.82,62.6,1570592010
Lingao,1803560,CN,19.91,109.69,82.74,74,2,12.19,82.74,1570592010
Presidencia Roque Saenz Pena,3840300,AR,-26.79,-60.44,64.9,61,0,6.02,64.9,1570592011
Dukat,3184575,AL,40.25,19.57,63.0,81,0,5.14,63.0,1570592011
Altus,4529292,US,34.64,-99.33,67.37,40,1,12.75,69.8,1570592011
Pecos,5528182,US,31.42,-103.49,79.23,34,1,11.41,82.4,1570592012
Batticaloa,1250161,LK,7.71,81.69,82.33,74,83,1.48,82.33,1570592012
Copiapo,3893656,CL,-27.37,-70.33,55.4,82,75,2.24,55.4,1570592012
Bandeirantes,3470912,BR,-23.11,-50.37,71.96,68,100,6.61,71.96,1570592012
Sobolevo,525426,RU,54.43,31.9,37.81,91,92,13.42,37.81,1570592013
Athabasca,5887916,CA,54.72,-113.29,25.59,61,96,6.11,25.59,1570592013
Harindanga,1349090,IN,22.04,88.32,73.4,94,90,5.82,73.4,1570592013
Srednekolymsk,2121025,RU,67.46,153.71,18.05,82,100,6.89,18.05,1570592014
Mala,3935572,PE,-12.66,-76.63,59.3,90,47,7.58,59.3,1570592014
El Seibo,3492984,DO,18.76,-69.04,71.6,100,40,2.53,71.6,1570592014
Arman,2127060,RU,59.7,150.17,38.66,84,100,25.54,38.66,1570592014
Pernem,1259869,IN,15.72,73.8,77.0,94,75,5.82,77.0,1570592015
Russell,4278471,US,38.9,-98.86,62.4,59,1,18.34,64.0,1570591805
Coahuayana,3981460,MX,18.62,-100.35,73.18,91,97,2.64,73.18,1570592015
Campo Formoso,3467760,BR,-10.51,-40.32,65.86,77,0,12.57,65.86,1570592015
Akcakoca,752584,TR,41.09,31.12,49.3,90,3,1.41,49.3,1570592016
Emerald,2167426,AU,-23.53,148.16,86.65,12,0,12.75,87.8,1570592017
Yakeshi,2033536,CN,49.28,120.73,53.36,56,10,17.65,53.36,1570592017
Barra do Garcas,3470709,BR,-15.89,-52.26,76.33,68,67,2.21,76.33,1570592017
Hedaru,159647,TZ,-4.5,37.91,68.45,87,100,9.17,68.45,1570592017
